"YEAR","MONTH","DAY","DATE","SITE","TRANSECT","0M","4M","8M","12M","16M","20M","24M","28M","32M","36M","40M","DEPTH.0M","DEPTH.40M","VIS.M"
2019,9,16,"9/16/19","Fort Wetherill","1",3,3,5,3,4,4,5,5,4,5,3,25,24,1.5
2019,9,11,"9/11/19","Fort Wetherill","2",2,3,1,2,4,3,2,3,1,4,4,24,26,1.5
2019,9,16,"9/16/19","Fort Wetherill","4",3,2,2,3,5,2,3,3,3,2,2,29,33,1.5
2019,9,11,"9/11/19","Fort Wetherill","6",2,4,1,3,2,3,3,2,4,3,5,16,20,2
2019,9,30,"9/30/19","King's Beach","3",1,1,1,2,4,3,5,5,4,5,5,37,29,6
2019,9,30,"9/30/19","King's Beach","4",1,5,4,2,1,1,2,2,2,1,2,30,20,6
2020,7,13,"7/13/20","Fort Wetherill","1",3,4,3,3,3,2,1,2,3,2,2,23,27,2
2020,7,13,"7/13/20","Fort Wetherill","3",2,2,3,1,1,3,3,3,3,3,2,25,18,1.5
2020,7,13,"7/13/20","Fort Wetherill","4",3,4,5,4,5,4,4,3,3,4,3,25,29,2.5
2020,7,15,"7/15/20","Fort Wetherill","1",2,3,4,4,3,5,4,4,3,4,3,28,29,1.5
2020,7,15,"7/15/20","Fort Wetherill","2",3,3,3,2,4,2,3,3,3,2,1,29,25,2
2020,7,15,"7/15/20","Fort Wetherill","Control 2",2,2,1,2,2,3,3,3,2,3,2,19,17,1.5
2020,7,21,"7/21/20","King's Beach","2",2,5,1,2,4,5,2,2,1,3,3,26,28,2.5
2020,7,21,"7/21/20","King's Beach","1",1,2,2,4,4,4,3,2,2,3,2,25,24,1.5
2020,7,21,"7/21/20","King's Beach","4",2,3,2,1,1,2,2,2,3,2,3,28,23,1
2020,7,22,"7/22/20","King's Beach","3",2,2,5,4,5,3,2,4,4,5,4,22,19,4
2020,7,22,"7/22/20","Lands End","1",2,2,2,2,4,2,3,4,3,2,1,24,17,3
2021,NA,NA,NA,"Fort Wetherill","3",2,2,3,2,1,1,2,2,2,2,3,31,28,1.5
2021,NA,NA,NA,"Fort Wetherill","4",3,3,2,2,3,4,4,3,4,4,3,26,33,2
2021,NA,NA,NA,"Fort Wetherill","1",2,1,1,2,3,3,2,2,2,2,1,33,31,2
2021,NA,NA,NA,"King's Beach","2",2,4,2,3,4,4,3,4,3,3,3,32,30,2
2021,NA,NA,NA,"King's Beach","4",2,3,3,3,2,3,2,2,3,3,2,23,29,1.5
2021,NA,NA,NA,"King's Beach","3",3,4,2,2,3,2,2,2,3,2,3,35,30,2
2022,NA,NA,NA,"Fort Wetherill","3",4,3,3,4,3,2,3,3,3,3,3,NA,NA,NA
2022,NA,NA,NA,"Fort Wetherill","5",5,4,3,4,5,4,5,4,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,"King's Beach","4",2,3,3,4,4,3,2,3,3,2,3,NA,NA,NA
2022,NA,NA,NA,"Fort Wetherill","1",2,2,3,2,3,3,2,3,3,2,2,NA,NA,NA
2022,NA,NA,NA,"King's Beach","3",4,4,3,5,4,4,4,4,4,5,5,NA,NA,NA
2022,NA,NA,NA,"King's Beach","2",3,3,4,3,5,4,3,4,3,2,3,NA,NA,NA
2022,NA,NA,NA,"Fort Wetherill","6",1,2,3,2,2,3,2,3,2,2,2,NA,NA,NA
2022,NA,NA,NA,"Fort Wetherill","4",2,2,2,3,4,3,3,2,3,3,3,NA,NA,NA
2022,NA,NA,NA,"Fort Wetherill","2",2,2,3,3,2,3,3,2,3,3,2,NA,NA,NA
2023,NA,NA,NA,"Fort Wetherill","3",4,3,3,4,3,2,3,3,3,3,3,NA,NA,NA
2023,NA,NA,NA,"Fort Wetherill","5",5,4,3,4,5,4,5,4,NA,NA,NA,NA,NA,NA
2023,NA,NA,NA,"King's Beach","4",2,3,3,4,4,3,2,3,3,2,3,NA,NA,NA
2023,NA,NA,NA,"Fort Wetherill","1",2,2,3,2,3,3,2,3,3,2,2,NA,NA,NA
2023,NA,NA,NA,"King's Beach","3",4,4,3,5,4,4,4,4,4,5,5,NA,NA,NA
2023,NA,NA,NA,"King's Beach","2",3,3,4,3,5,4,3,4,3,2,3,NA,NA,NA
2023,NA,NA,NA,"Fort Wetherill","6",1,2,3,2,2,3,2,3,2,2,2,NA,NA,NA
2023,NA,NA,NA,"Fort Wetherill","4",2,2,2,3,4,3,3,2,3,3,3,NA,NA,NA
2023,NA,NA,NA,"Fort Wetherill","2",2,2,3,3,2,3,3,2,3,3,2,NA,NA,NA
